generation, mean_fitness, parameter, parameter_value
9, 10.764306631733541, pop_size, 14
10, 14.361011968035658, pop_size, 14
11, 13.62880428698753, pop_size, 14
12, 14.920953668297534, pop_size, 14
13, 14.73215553085495, pop_size, 14
14, 16.483902768518544, pop_size, 14
15, 15.929780471661164, pop_size, 14
16, 18.639769897232473, pop_size, 14
17, 17.606100524741173, pop_size, 14
18, 19.45957978567204, pop_size, 14
19, 18.747530851319997, pop_size, 14
0, 7.026192417660934, pop_size, 15
1, 11.28469381632601, pop_size, 15
2, 13.387587579851534, pop_size, 15
3, 14.742674552142743, pop_size, 15
4, 15.55967758983479, pop_size, 15
5, 17.006576732946197, pop_size, 15
